Make,Model,Pmax,Isc,Voc,Imp,Vmp
Suniva,255-60-4-1B0,255,8.96,38.1,8.45,30.2 
Suniva,260-60-4-1B0,260,9.01,38.3,8.52,30.5 
Suniva,265-60-4-1B0,265,9.12,38.3,8.64,30.7 
Suniva,270-60-4-1B0,270,9.18,38.4,8.7,31 
Suniva,260-60-4-100,260,9.08,38.1,8.6,30.2 
Suniva,265-60-4-100,265,9.12,38.3,8.64,30.7 
Suniva,270-60-4-100,270,9.15,38.5,8.68,31.1 
Suniva,310-72-4-100,310,9.06,45.7,8.56,36.2 
Suniva,315-72-4-100,315,9.1,45.9,8.62,36.5 
Suniva,320-72-4-100,320,9.2,46.1,8.69,36.8 
Suniva,325-72-4-100,325,9.27,46.3,8.77,37 
Sunmodule,Protect SW 265 mono,265,9.31,39,8.69,30.8 
Sunmodule,Protect SW 270 mono,270,9.44,39.2,8.81,30.9 
Sunmodule,Protect SW 275 mono,275,9.58,39.4,8.94,31
